FusionName	Fusion_Type	Gene_Symbol	Gene_Position	Fusion_anno	BreakpointLocation	annots	Kinase_domain_retained_Gene1A	Kinase_domain_retained_Gene1B	Reciprocal_exists_either_gene_kinase	Gene1A_anno	Gene1B_anno	Gene2A_anno	Gene2B_anno	Total_alterations_Over_Patients_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_Over_Primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_Over_Relapse_tumors_in_dataset	Frequency_in_relapse_tumors
FAT3--AC010967.1/SCARNA16	frameshift	FAT3	Gene1A		Intergenic	[], translocation			FALSE	CosmicCensus				1/1042	0.10%	0/335	0.00%	0/0	
FOXO3--RN7SKP168/ZFYVE9P2	frameshift	FOXO3	Gene1A		Intergenic	[], translocation			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor				1/1042	0.10%	0/335	0.00%	0/0	
MKL1--NSD2	other	MKL1	Gene1A		Genic	[INTERCHROMOSOMAL[chr22--chr4]], translocation			FALSE	Oncogene	CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
MMD2--TNRC18	frameshift	MMD2	Gene1A		Genic	[INTRACHROMOSOMAL[chr7:0.35Mb]], duplication			FALSE					1/1042	0.10%	0/335	0.00%	0/0	
MYCN--AC130710.1	other	MYCN	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:0.14Mb]]			FALSE	CosmicCensus, Oncogene, TranscriptionFactor				1/1042	0.10%	0/335	0.00%	0/0	
MYCN--AC130710.1	frameshift	MYCN	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:0.14Mb]], inversion			FALSE	CosmicCensus, Oncogene, TranscriptionFactor				1/1042	0.10%	0/335	0.00%	0/0	
OAF--HDAC9	in-frame	OAF	Gene1A		Genic	[INTERCHROMOSOMAL[chr11--chr7]], translocation			FALSE					1/1042	0.10%	0/335	0.00%	0/0	
PCSK7--DNAH11	frameshift	PCSK7	Gene1A		Genic	[INTERCHROMOSOMAL[chr11--chr7]], translocation			FALSE	Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
PHF14--DGKB	other	PHF14	Gene1A		Genic	[INTRACHROMOSOMAL[chr7:2.98Mb]], deletion/5'-5'		No	FALSE		Kinase			1/1042	0.10%	0/335	0.00%	0/0	
RNA5SP347/AP003730.2--DGKB	other	RNA5SP347	Gene1A		Intergenic	[], translocation		No	FALSE		Kinase			1/1042	0.10%	0/335	0.00%	0/0	
SIK2--AP003181.1	frameshift	SIK2	Gene1A		Genic	[INTRACHROMOSOMAL[chr11:6.07Mb]], inversion	No		FALSE	Kinase				1/1042	0.10%	0/335	0.00%	0/0	
SORL1--CRYAB	frameshift	SORL1	Gene1A		Genic	[INTRACHROMOSOMAL[chr11:9.53Mb]], inversion			FALSE	Oncogene	Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
SORL1--CRYAB	in-frame	SORL1	Gene1A		Genic	[INTRACHROMOSOMAL[chr11:9.53Mb]], inversion			FALSE	Oncogene	Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
SORL1--CRYAB	other	SORL1	Gene1A		Genic	[INTRACHROMOSOMAL[chr11:9.53Mb]]			FALSE	Oncogene	Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
TNRC6B--CUL5	other	TNRC6B	Gene1A		Genic	[INTERCHROMOSOMAL[chr22--chr11]], translocation/5'-5'			FALSE		TumorSuppressorGene			1/1042	0.10%	0/335	0.00%	0/0	
MALAT1--7SK	other	MALAT1	Gene1A		Genic	[INTERCHROMOSOMAL[chr11--chr1]]			FALSE	CosmicCensus, Oncogene				2/1042	0.19%	0/335	0.00%	0/0	
AL590094.1--ZNF644	other	AL590094.1	Gene1A		Genic	[INTRACHROMOSOMAL[chr1:0.06Mb], LOCAL_REARRANGEMENT:-:[63641]], duplication			FALSE		TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
EHD3/AL121657.1--PECR	other	EHD3	Gene1A		Intergenic	[], duplication			FALSE	TumorSuppressorGene				1/1042	0.10%	0/335	0.00%	0/0	
KMT2B--TYMSP2/ZBTB32	frameshift	KMT2B	Gene1A		Intergenic	[], duplication			FALSE	TranscriptionFactor				1/1042	0.10%	0/335	0.00%	0/0	
MREG--DDX1	frameshift	MREG	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:200.31Mb]], inversion			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
MREG--DDX1	other	MREG	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:200.31Mb]]			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
PECR--AC008278.2/DDX1	frameshift	PECR	Gene1A		Intergenic	[], inversion			FALSE					1/1042	0.10%	0/335	0.00%	0/0	
PECR--DDX1	other	PECR	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:200.37Mb]]			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
PECR--DDX1	frameshift	PECR	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:200.37Mb]], inversion			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
PECR--DDX1	other	PECR	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:200.37Mb]], inversion			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
PECR--EHD3/AL121657.1	frameshift	PECR	Gene1A		Intergenic	[], deletion			FALSE		TumorSuppressorGene			1/1042	0.10%	0/335	0.00%	0/0	
RNU7-148P/CTAGE14P--XDH	other	RNU7-148P	Gene1A		Intergenic	[], inversion			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
THBS1--AC013652.1	other	THBS1	Gene1A		Genic	[INTRACHROMOSOMAL[chr15:0.15Mb]], deletion/3'-3'			FALSE	TumorSuppressorGene, Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
AGKP1--INHBE	other	AGKP1	Gene1A		Genic	[INTERCHROMOSOMAL[chrY--chr12]], translocation			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
NLGN4Y--GLI1	frameshift	NLGN4Y	Gene1A		Genic	[INTERCHROMOSOMAL[chrY--chr12]], translocation			FALSE		TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
NLGN4Y--GLI1	in-frame	NLGN4Y	Gene1A		Genic	[INTERCHROMOSOMAL[chrY--chr12]], translocation			FALSE		TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
STK39--SCN7A	frameshift	STK39	Gene1A	TCGAFusion	Genic	[INTRACHROMOSOMAL[chr2:1.46Mb]], deletion	No		FALSE	Kinase				1/1042	0.10%	0/335	0.00%	0/0	
CDK3--AC136621.1	other	CDK3	Gene1A		Genic	[INTERCHROMOSOMAL[chr17--chr16]]	Yes		FALSE	Kinase, Kinase				1/1042	0.10%	0/335	0.00%	0/0	
MAPK10--PTTG1	other	MAPK10	Gene1A		Genic	[INTERCHROMOSOMAL[chr4--chr5]]	No		FALSE	TumorSuppressorGene, Oncogene, Kinase	Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
ZFX--CNTN1	other	ZFX	Gene1A		Genic	[INTERCHROMOSOMAL[chrX--chr12]]			FALSE	TranscriptionFactor				1/1042	0.10%	0/335	0.00%	0/0	
GPN1--ZNF410	frameshift	GPN1	Gene1A		Genic	[INTERCHROMOSOMAL[chr2--chr14]], translocation			FALSE		TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
AP003071.2/MYEOV--SHANK2	other	AP003071.2	Gene1A		Intergenic	[], duplication			FALSE					1/1042	0.10%	0/335	0.00%	0/0	
ATRX--ATRX	frameshift	ATRX	Gene1A		Intragenic	[SELFIE, INTRACHROMOSOMAL[chrX:0.28Mb]], inversion/5'-5'			FALSE	CosmicCensus, Oncogene	CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
CSPP1--ZNF260	frameshift	CSPP1	Gene1A		Genic	[INTERCHROMOSOMAL[chr8--chr19]], translocation			FALSE		TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
ACHE--FAM171B	frameshift	ACHE	Gene1A		Genic	[INTERCHROMOSOMAL[chr7--chr2]]			FALSE	TumorSuppressorGene				1/1042	0.10%	0/335	0.00%	0/0	
LONRF2--FOXJ3	other	LONRF2	Gene1A		Genic	[INTERCHROMOSOMAL[chr2--chr1]]			FALSE		TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
NARF--SPTAN1	frameshift	NARF	Gene1A		Genic	[INTERCHROMOSOMAL[chr17--chr9]]			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
SREBF1--MIR9-3HG	frameshift	SREBF1	Gene1A		Genic	[INTERCHROMOSOMAL[chr17--chr15]], translocation			FALSE	TranscriptionFactor				1/1042	0.10%	0/335	0.00%	0/0	
BMPR1B--GRID2	other	BMPR1B	Gene1A		Genic	[INTRACHROMOSOMAL[chr4:0.95Mb]], duplication	No		FALSE	Kinase, Kinase				1/1042	0.10%	0/335	0.00%	0/0	
CDC42BPA--CDC42BPA	frameshift	CDC42BPA	Gene1A		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr1:0.33Mb]], duplication/non-canonical_splicing	Yes	No	TRUE	Kinase	Kinase			2/1042	0.19%	0/335	0.00%	0/0	
MYT1L--TRAF7	other	MYT1L	Gene1A		Genic	[INTERCHROMOSOMAL[chr2--chr16]]			FALSE	TranscriptionFactor	CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
NREP--ERC1	other	NREP	Gene1A		Genic	[INTERCHROMOSOMAL[chr5--chr12]]			FALSE		CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
PLEC--TAOK1	frameshift	PLEC	Gene1A		Genic	[INTERCHROMOSOMAL[chr8--chr17]], translocation		No	FALSE		Kinase			1/1042	0.10%	0/335	0.00%	0/0	
SRPK1--PPM1N	in-frame	SRPK1	Gene1A		Genic	[INTERCHROMOSOMAL[chr6--chr19]], translocation	No		FALSE	Kinase, Kinase				1/1042	0.10%	0/335	0.00%	0/0	
SRPK1--PPM1N	in-frame	SRPK1	Gene1A		Genic	[INTERCHROMOSOMAL[chr6--chr19]], translocation	Partial		FALSE	Kinase, Kinase				1/1042	0.10%	0/335	0.00%	0/0	
SKA3--DDX10	other	SKA3	Gene1A		Genic	[INTERCHROMOSOMAL[chr13--chr11]], translocation/3'-3'			FALSE		CosmicCensus, Oncogene			4/1042	0.38%	0/335	0.00%	0/0	
MED24--PTPRG	frameshift	MED24	Gene1A		Genic	[INTERCHROMOSOMAL[chr17--chr3]], translocation			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
SRSF10--PRKCE	other	SRSF10	Gene1A		Genic	[INTERCHROMOSOMAL[chr1--chr2]], translocation/5'-5'		No	FALSE		TumorSuppressorGene, Kinase			1/1042	0.10%	0/335	0.00%	0/0	
USP8--AC021752.1	other	USP8	Gene1A		Genic	[INTRACHROMOSOMAL[chr15:0.33Mb]], inversion			FALSE	CosmicCensus				1/1042	0.10%	0/335	0.00%	0/0	
AC006213.3--AKT2	other	AC006213.3	Gene1A		Genic	[INTRACHROMOSOMAL[chr19:3.62Mb]], inversion		No	FALSE		Kinase, CosmicCensus, Oncogene, Kinase			1/1042	0.10%	0/335	0.00%	0/0	
HNRNPR--FOXR1	other	HNRNPR	Gene1A		Genic	[INTERCHROMOSOMAL[chr1--chr11]]			FALSE		CosmicCensus, TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
HNRNPR--FOXR1	frameshift	HNRNPR	Gene1A		Genic	[INTERCHROMOSOMAL[chr1--chr11]], translocation			FALSE		CosmicCensus, TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
HNRNPR--Y_RNA/FOXR1	frameshift	HNRNPR	Gene1A		Intergenic	[], translocation			FALSE					1/1042	0.10%	0/335	0.00%	0/0	
SPACA6--ZNF536/AC011507.1	frameshift	SPACA6	Gene1A		Intergenic	[], duplication			FALSE		TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
AKAP8L--ENO1	other	AKAP8L	Gene1A		Genic	[INTERCHROMOSOMAL[chr19--chr1]], translocation			FALSE	TranscriptionFactor	Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
AKAP8L--ENO1	frameshift	AKAP8L	Gene1A		Genic	[INTERCHROMOSOMAL[chr19--chr1]], translocation			FALSE	TranscriptionFactor	Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
RAB7A--EEFSEC	other	RAB7A	Gene1A		Genic	[INTRACHROMOSOMAL[chr3:0.32Mb]], duplication			FALSE	TumorSuppressorGene				1/1042	0.10%	0/335	0.00%	0/0	
SORBS2--GNAS	other	SORBS2	Gene1A		Genic	[INTERCHROMOSOMAL[chr4--chr20]], translocation			FALSE	Oncogene	CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
LPAR1--AL162414.1	frameshift	LPAR1	Gene1A		Genic	[INTRACHROMOSOMAL[chr9:0.10Mb]], duplication			FALSE	Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
SIK3--NARS2	frameshift	SIK3	Gene1A		Genic	[INTRACHROMOSOMAL[chr11:38.27Mb]], deletion	Yes		FALSE	Oncogene, Kinase				1/1042	0.10%	0/335	0.00%	0/0	
PVT1--CASC8	other	PVT1	Gene1A		Genic	[FA_CancerSupp, CCLE, INTRACHROMOSOMAL[chr8:0.31Mb]], inversion			FALSE	Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
TMEFF1--MSANTD3	in-frame	TMEFF1	Gene1A		Genic	[INTRACHROMOSOMAL[chr9:0.02Mb], LOCAL_REARRANGEMENT:+:[21402]], duplication			FALSE	TumorSuppressorGene	TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
CTDSP1--CFLAR	frameshift	CTDSP1	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:17.22Mb]], inversion/3'-3'			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
RAF1--TMEM40	frameshift	RAF1	Gene1A	TCGAFusion	Genic	[ChimerSeq, FA_CancerSupp, INTRACHROMOSOMAL[chr3:0.07Mb], LOCAL_REARRANGEMENT:-:[69299]], duplication	No		FALSE	Kinase, CosmicCensus, Oncogene, Kinase				1/1042	0.10%	0/335	0.00%	0/0	
RAF1--TMEM40	in-frame	RAF1	Gene1A	TCGAFusion	Genic	[ChimerSeq, FA_CancerSupp, INTRACHROMOSOMAL[chr3:0.07Mb], LOCAL_REARRANGEMENT:-:[69299]], duplication	Partial		FALSE	Kinase, CosmicCensus, Oncogene, Kinase				1/1042	0.10%	0/335	0.00%	0/0	
ATP8A1--EXOC4	frameshift	ATP8A1	Gene1A		Genic	[INTERCHROMOSOMAL[chr4--chr7]], translocation			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
ALK--LCLAT1	frameshift	ALK	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:0.53Mb]], inversion	No		TRUE	Kinase, CosmicCensus, Oncogene, Kinase				1/1042	0.10%	0/335	0.00%	0/0	
CSMD2--ZNF608/AC113398.1	other	CSMD2	Gene1A		Intergenic	[], translocation			FALSE		Oncogene, TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
FAM49A--HPCAL1	other	FAM49A	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:6.12Mb]], inversion			FALSE	Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
FAM49A--ROCK2	other	FAM49A	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:5.20Mb]], deletion		No	FALSE	Oncogene	Kinase, Kinase			1/1042	0.10%	0/335	0.00%	0/0	
GREB1--FAM49A	other	GREB1	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:4.91Mb]], deletion/5'-5'			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
LCLAT1--ALK	other	LCLAT1	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:0.53Mb]], inversion		No	TRUE		Kinase, CosmicCensus, Oncogene, Kinase			1/1042	0.10%	0/335	0.00%	0/0	
LCLAT1--ALK	frameshift	LCLAT1	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:0.53Mb]], inversion		No	TRUE		Kinase, CosmicCensus, Oncogene, Kinase			1/1042	0.10%	0/335	0.00%	0/0	
CCAR2--PHTF2	frameshift	CCAR2	Gene1A		Genic	[INTERCHROMOSOMAL[chr8--chr7]], translocation			FALSE	TumorSuppressorGene				1/1042	0.10%	0/335	0.00%	0/0	
INPP5A--ZNF841	other	INPP5A	Gene1A		Genic	[INTERCHROMOSOMAL[chr10--chr19]]			FALSE		TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
LINC01719--EVL	other	LINC01719	Gene1A		Genic	[INTERCHROMOSOMAL[chr1--chr14]]			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
MAT2A--BIRC6	frameshift	MAT2A	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:52.92Mb]], duplication			FALSE	TumorSuppressorGene	CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
BCL2L2--NDUFA3	other	BCL2L2	Gene1A		Genic	[INTERCHROMOSOMAL[chr14--chr19]], translocation			FALSE	Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
CUL3--CCDC195	frameshift	CUL3	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:0.12Mb]], duplication			FALSE	CosmicCensus				1/1042	0.10%	0/335	0.00%	0/0	
CUL3--CCDC195/DOCK10	frameshift	CUL3	Gene1A		Intergenic	[], duplication			FALSE	CosmicCensus				1/1042	0.10%	0/335	0.00%	0/0	
NKAIN1--GAK	other	NKAIN1	Gene1A		Genic	[INTERCHROMOSOMAL[chr1--chr4]], translocation		No	FALSE		Kinase, Oncogene, Kinase			1/1042	0.10%	0/335	0.00%	0/0	
CIC--CREBBP	frameshift	CIC	Gene1A		Genic	[INTERCHROMOSOMAL[chr19--chr16]], translocation			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor	TumorSuppressorGene, CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
CIC--CREBBP	in-frame	CIC	Gene1A		Genic	[INTERCHROMOSOMAL[chr19--chr16]]			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor	TumorSuppressorGene, CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
CIC--CREBBP	other	CIC	Gene1A		Genic	[INTERCHROMOSOMAL[chr19--chr16]]			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor	TumorSuppressorGene, CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
CREBBP--PRR19	other	CREBBP	Gene1A		Genic	[INTERCHROMOSOMAL[chr16--chr19]]			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
CREBBP--PRR19	frameshift	CREBBP	Gene1A		Genic	[INTERCHROMOSOMAL[chr16--chr19]], translocation			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
MAX--AL121694.1	frameshift	MAX	Gene1A		Genic	[INTRACHROMOSOMAL[chr14:5.48Mb]], deletion			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor				1/1042	0.10%	0/335	0.00%	0/0	
MAX--CCDC175	frameshift	MAX	Gene1A		Genic	[INTRACHROMOSOMAL[chr14:5.43Mb]], deletion			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor				1/1042	0.10%	0/335	0.00%	0/0	
PAFAH1B3--CIC	other	PAFAH1B3	Gene1A		Genic	[INTRACHROMOSOMAL[chr19:0.00Mb], LOCAL_INVERSION:-:+:[1236]], duplication/3'-3'			FALSE		TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
PICK1--CUX1	frameshift	PICK1	Gene1A		Genic	[INTERCHROMOSOMAL[chr22--chr7]], translocation			FALSE	Oncogene	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
RAB5C--EGLN1/SNRPD2P2	other	RAB5C	Gene1A		Intergenic	[], translocation			FALSE	Oncogene	TumorSuppressorGene, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
TECPR2--CDC42BPB	in-frame	TECPR2	Gene1A		Genic	[INTRACHROMOSOMAL[chr14:0.43Mb]], inversion		Yes	FALSE		Kinase			1/1042	0.10%	0/335	0.00%	0/0	
KMT5B--LRP5	other	KMT5B	Gene1A		Genic	[INTRACHROMOSOMAL[chr11:0.10Mb], LOCAL_INVERSION:-:+:[98781]], inversion			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
APEH--EPB41L1	frameshift	APEH	Gene1A		Genic	[INTERCHROMOSOMAL[chr3--chr20]]			FALSE	Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
ERC1--ATP8B4	other	ERC1	Gene1A		Genic	[INTERCHROMOSOMAL[chr12--chr15]]			FALSE	CosmicCensus, Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
SEC31A--CACNA2D3	other	SEC31A	Gene1A		Genic	[INTERCHROMOSOMAL[chr4--chr3]]			FALSE		TumorSuppressorGene			1/1042	0.10%	0/335	0.00%	0/0	
THAP9-AS1--CACNA2D3	other	THAP9-AS1	Gene1A		Genic	[INTERCHROMOSOMAL[chr4--chr3]]			FALSE		TumorSuppressorGene			1/1042	0.10%	0/335	0.00%	0/0	
CDC42BPA--CDC42BPA	frameshift	CDC42BPA	Gene1A		Intragenic	[SELFIE, INTRACHROMOSOMAL[chr1:0.33Mb]], duplication/non-canonical_splicing	No	No	TRUE	Kinase	Kinase			2/1042	0.19%	0/335	0.00%	0/0	
FBXO28--ZNF493	other	FBXO28	Gene1A		Genic	[INTERCHROMOSOMAL[chr1--chr19]], translocation/3'-3'			FALSE		TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
TMEM245--PRKN	in-frame	TMEM245	Gene1A		Genic	[INTERCHROMOSOMAL[chr9--chr6]], translocation			FALSE					1/1042	0.10%	0/335	0.00%	0/0	
ACACA--SPECC1	in-frame	ACACA	Gene1A		Genic	[INTRACHROMOSOMAL[chr17:16.77Mb]], inversion			FALSE		CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
UNC79--PXT1	in-frame	UNC79	Gene1A		Genic	[INTERCHROMOSOMAL[chr14--chr6]], translocation			FALSE	Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
JUP--AC092264.1	frameshift	JUP	Gene1A		Genic	[INTERCHROMOSOMAL[chr17--chr1]], translocation			FALSE	TumorSuppressorGene				1/1042	0.10%	0/335	0.00%	0/0	
JUP--AC092264.1	other	JUP	Gene1A		Genic	[INTERCHROMOSOMAL[chr17--chr1]]			FALSE	TumorSuppressorGene				1/1042	0.10%	0/335	0.00%	0/0	
MYT1L--UBN2	other	MYT1L	Gene1A		Genic	[INTERCHROMOSOMAL[chr2--chr7]], translocation			FALSE	TranscriptionFactor				1/1042	0.10%	0/335	0.00%	0/0	
RPS25--FOXR1	other	RPS25	Gene1A		Genic	[CCLE, INTRACHROMOSOMAL[chr11:0.03Mb], LOCAL_INVERSION:-:+:[34421]]			FALSE		CosmicCensus, TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
TRAPPC4--Y_RNA/FOXR1	other	TRAPPC4	Gene1A		Intergenic	[], inversion			FALSE					1/1042	0.10%	0/335	0.00%	0/0	
ACVR2A--SATB1	frameshift	ACVR2A	Gene1A		Genic	[INTERCHROMOSOMAL[chr2--chr3]], translocation	No		FALSE	CosmicCensus, Oncogene, Kinase	Oncogene, TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
AL139099.5--MALAT1	other	AL139099.5	Gene1A		Genic	[INTERCHROMOSOMAL[chr14--chr11]]			FALSE		CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
ELAVL3--CCND1	other	ELAVL3	Gene1A		Genic	[INTERCHROMOSOMAL[chr19--chr11]]			FALSE		CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
MALAT1--HSPA1A	other	MALAT1	Gene1A		Genic	[INTERCHROMOSOMAL[chr11--chr6]]			FALSE	CosmicCensus, Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
RN7SL1--MALAT1	other	RN7SL1	Gene1A		Genic	[INTERCHROMOSOMAL[chr14--chr11]]			FALSE		CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
C20orf194--LASP1	frameshift	C20orf194	Gene1A		Genic	[INTERCHROMOSOMAL[chr20--chr17]], translocation			FALSE		CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
PPP2R5C--RBPJ	frameshift	PPP2R5C	Gene1A		Genic	[INTERCHROMOSOMAL[chr14--chr4]], translocation			FALSE	TumorSuppressorGene	TranscriptionFactor			1/1042	0.10%	0/335	0.00%	0/0	
PSMC3IP--SHANK2	frameshift	PSMC3IP	Gene1A		Genic	[INTERCHROMOSOMAL[chr17--chr11]], translocation			FALSE					1/1042	0.10%	0/335	0.00%	0/0	
PSMC3IP--SHANK2	in-frame	PSMC3IP	Gene1A		Genic	[INTERCHROMOSOMAL[chr17--chr11]], translocation			FALSE					1/1042	0.10%	0/335	0.00%	0/0	
ZCCHC8--RSRC2	frameshift	ZCCHC8	Gene1A	TCGAFusion	Genic	[ChimerSeq, FA_CancerSupp, YOSHIHARA_TCGA, INTRACHROMOSOMAL[chr12:0.00Mb], LOCAL_REARRANGEMENT:-:[2385]], duplication			FALSE	CosmicCensus				2/1042	0.19%	0/335	0.00%	0/0	
AACSP1--GABRP/RANBP17	other	AACSP1	Gene1A		Intergenic	[], inversion			FALSE					2/1042	0.19%	0/335	0.00%	0/0	
DPY30--NF1	frameshift	DPY30	Gene1A		Genic	[INTERCHROMOSOMAL[chr2--chr17]], translocation			FALSE		TumorSuppressorGene, CosmicCensus, Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
FMN1--PEG10	frameshift	FMN1	Gene1A		Genic	[INTERCHROMOSOMAL[chr15--chr7]], translocation			FALSE		Oncogene			1/1042	0.10%	0/335	0.00%	0/0	
MEG3--KIF26A/C14orf144	other	MEG3	Gene1A		Intergenic	[], inversion			FALSE	TumorSuppressorGene, Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
SORL1--CADM1	frameshift	SORL1	Gene1A		Genic	[INTRACHROMOSOMAL[chr11:5.95Mb]], inversion			FALSE	Oncogene	TumorSuppressorGene			1/1042	0.10%	0/335	0.00%	0/0	
ZFHX3--RGMB	in-frame	ZFHX3	Gene1A		Genic	[INTERCHROMOSOMAL[chr16--chr5]], translocation			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor				1/1042	0.10%	0/335	0.00%	0/0	
E2F6--AC092614.1	frameshift	E2F6	Gene1A		Genic	[INTRACHROMOSOMAL[chr2:179.76Mb]], inversion/5'-5'			FALSE	Oncogene, TranscriptionFactor				1/1042	0.10%	0/335	0.00%	0/0	
STAG1--ATP6V1A	other	STAG1	Gene1A		Genic	[INTRACHROMOSOMAL[chr3:22.52Mb]], inversion			FALSE	CosmicCensus, Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
KDM6A--AC234772.2/SNORD77	frameshift	KDM6A	Gene1A		Intergenic	[], deletion			FALSE	TumorSuppressorGene, CosmicCensus, Oncogene				1/1042	0.10%	0/335	0.00%	0/0	
