Gene Symbol,Name,Entrez GeneId,Genome Location,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
LMO1,LIM domain only 1 (rhombotin 1) (RBTN1),4004,11:8224616-8268634,11p15,yes,yes,"T-ALL, neuroblastoma",neuroblastoma,,L,Dom,,"T, A",TRD,,,"RBTN1,LMO1,4004,ENSG00000166407,P25800,RHOM1,TTG1"
LMO2,LIM domain only 2 (rhombotin-like 1) (RBTN2),4005,11:33859356-33869386,11p13,yes,,T-ALL,,,L,Dom,,T,TRD,,,"RBTN2,4005,LMO2,ENSG00000135363,P25791,TTG2,RBTNL1,RHOM2"
LPP,LIM domain containing preferred translocation partner in lipoma,4026,3:188406122-188874480,3q28,yes,,"lipoma, leukaemia",,,"L, M",Dom,,T,"HMGA2, KMT2A, C12orf9",,,"Q93052,4026,LPP,ENSG00000145012"
LRIG3,leucine-rich repeats and immunoglobulin-like domains 3,121227,12:58872572-58920235,12q14.1,yes,,NSCLC,,,E,Dom,,T,ROS1,,,"Q6UXM1,121227,LRIG3,ENSG00000139263,FLJ90440,KIAA3016,FLJ26573"
LRP1B,LDL receptor related protein 1B,53353,2:140233186-142130729,2q21.2,yes,,"CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer",,,"E, L",Rec,TSG,"D, Mis, N, F",,,,"ENSG00000168702,53353,LRP1B,Q9NZR2,LRPDIT,LRP-DIT"
LSM14A,"LSM14A, SCD6 homolog A (S. cerevisiae)",26065,19:34172643-34227388,19q13.11,yes,,Spitzoid tumour,,,E,Dom,,T,BRAF,,,"ENSG00000105216,26065,LSM14A,RAP55,FAM61A,DKFZP434D1335,C19orf13"
LYL1,lymphoblastic leukemia derived sequence 1,4066,19:13099319-13101171,19p13.2-p13.1,yes,,T-ALL,,,L,Dom,,T,TRB,,,"P12980,LYL1,4066,ENSG00000104903"
LZTR1,leucine-zipper-like transcription regulator 1,8216,22:20982372-20997348,22q11.21,yes,yes,glioblastoma,"glioblastoma, schwannoma",Schwannomatosis-2,E,Dom,TSG,"Mis, F, N",,yes,Noonan syndrome 10,"ENSG00000099949,8216,LZTR1,Q8N653,TCFL2,MGC21205,LZTR-1"
MAF,v-maf musculoaponeurotic fibrosarcoma oncogene homolog,4094,16:79594460-79599902,16q22-q23,yes,,MM,,,L,Dom,,T,IGH,,,"MGC71685,MAF,4094,ENSG00000178573"
MAFB,v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian),9935,20:40687879-40688850,20q11.2-q13.1,yes,,MM,,,L,Dom,,T,IGH,,,"Q9Y5Q3,MAFB,9935,ENSG00000204103,MGC43127,KRML"
MALAT1,"metastasis associated lung adenocarcinoma transcript 1 ( lnc-RNA; non-protein coding)",378938,11:65502644-65502817,11q31.1,yes,,"renal cell carcinoma (childhood epithelioid), lung",,,E,Dom,,T,TFEB,,,"PRO1073,MALAT1,378938,Q9UHZ2"
MALT1,mucosa associated lymphoid tissue lymphoma translocation gene 1,10892,18:58671645-58747843,18q21,yes,,MALT,,,L,Dom,,T,BIRC3,,,"ENSG00000172175,MALT1,10892"
MAML2,mastermind-like 2 (Drosophila),84441,11:95978948-96341895,11q22-q23,yes,,salivary gland mucoepidermoid,,,E,Dom,,T,"CRTC3, CRTC1",,,"MAM3,84441,MAML2,ENSG00000184384,MAM-3,MLL-MAML2,Q8IZL2,KIAA1819,DKFZp686N0150,MAM2"
MAP2K1,mitogen-activated protein kinase kinase 1,5604,15:66387348-66490615,15q22.1-q22.33,yes,,"NSCLC, melanoma, colorectal",,,E,Dom,oncogene,Mis,,yes,Cardiofaciocutaneous syndrome,"MAPKK1,5604,MAP2K1,ENSG00000169032,Q02750,MEK1,MKK1,PRKMK1"
MAP2K2,mitogen-activated protein kinase kinase 2,5605,19:4090598-4123875,19p13.3,yes,,"NSCLC, melanoma",,,E,Dom,oncogene,Mis,,yes,Cardiofaciocutaneous syndrome,"MEK2,MAP2K2,5605,ENSG00000126934,P36507,MKK2,MAPKK2,PRKMK2"
MAP2K4,mitogen-activated protein kinase kinase 4,6416,17:12020887-12141260,17p11.2,yes,,"pancreatic, breast, colorectal",,,E,Rec,,"D, Mis, N",,,,"MEK4,6416,MAP2K4,P45985,ENSG00000065559,SERK1,JNKK1,MKK4,PRKMK4,MAPKK4,JNKK,SEK1"
MAP3K1,"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase",4214,5:56152434-56189507,5q11.2,yes,,luminal A breast,,,E,Rec,,"N, F, Mis, O, S",,yes,"46,XY sex reversal 6","ENSG00000095015,MAP3K1,4214,Q13233,MEKK1,MEKK,MAPKKK1"
MAP3K13,mitogen-activated protein kinase kinase kinase 13,9175,3:185428582-185482456,3q27,yes,,breast,,,E,Rec,,F,,,,"MGC133196,9175,MAP3K13,ENSG00000073803,LZK"
MAPK1,mitogen-activated protein kinase 1,5594,22:21769204-21867440,22q11.2,yes,,"CLL, ovarian mixed germ cell tumour, cervical carcinoma",,,"E, L",Dom,oncogene,Mis,,,,"MAPK2,MAPK1,5594,ENSG00000100030,P28482,ERK2,p40,PRKM1,p38,p41,ERT1,p41mapk,PRKM2,P42MAPK,ERK"
MAX,Myc associated factor X,4149,14:65076476-65102339,14q23,yes,yes,"pheochromocytoma, endometrioid carcinoma, colon carcinoma",pheochromocytoma,,"E, O",Rec,,"Mis, N, F",,,,"MGC36767,MAX,4149,ENSG00000125952,MGC18164,MGC10775,P61244,MGC11225,orf1,MGC34679"
MDM2,Mdm2 p53 binding protein homolog,4193,12:68808478-68839849,12q15,yes,,"sarcoma, glioma, colorectal, other tumour types",,,"M, O, E, L",Dom,oncogene,A,,,,"HDM2,4193,MDM2,ENSG00000135679,HDMX,MGC71221,hdm2,Q00987"
MDM4,Mdm4 p53 binding protein homolog,4194,1:204525519-204549682,1q32,yes,,"glioblastoma, bladder, retinoblastoma",,,M,Dom,oncogene,A,,,,"DKFZp781B1423,MDM4,4194,ENSG00000198625,RP11-430C7_1,MRP1,MDMX,MGC132766"
MDS2,myelodysplastic syndrome 2,259283,1:23629556-23640550,1p36,yes,,MDS,,,L,Dom,,T,ETV6,,,"Q8NDY4,MDS2,259283,ENSG00000197880"
MECOM,MDS1 and EVI1 complex locus,2122,3:169084909-169131477,3q26.2,yes,,"AML, CML, MDS",,,L,Dom,oncogene,T,"RUNX1, ETV6, PRDM16, RPN1",,,"MDS1-EVI1,EVI1,MECOM,2122,ENSG00000085276,Q03112,PRDM3"
MED12,mediator complex subunit 12,9968,X:71118755-71142218,Xq13,yes,,"uterine leiomyoma, fibroadenoma, phyllodes tumour",,,"M, E",Dom,,"Mis, S, O",,yes,Opitz-Kaveggia Syndrome,"MED12,Q93074,TRAP230,TNRC11,OKS,KIAA0192,HOPA,FGS1,CAGH45,ARC240,9968"
MEN1,multiple endocrine neoplasia type 1 gene,4221,11:64804334-64810109,11q13,yes,yes,"parathyroid tumours, pancreatic neuroendocrine tumour","parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid",multiple endocrine neoplasia type 1,E,Rec,TSG,"D, Mis, N, F, S",,,,"ENSG00000133895,MEN1,4221"
MET,met proto-oncogene (hepatocyte growth factor receptor),4233,7:116699085-116796124,7q31,yes,,"papillary renal, head-neck squamous cell",papillary renal,familial papillary renal cancer,E,Dom,oncogene,Mis,,,,"RCCP2,4233,MET,ENSG00000105976,P08581,HGFR,AUTS9"
MITF,microphthalmia-associated transcription factor,4286,3:69936723-69965248,3p14.1,yes,,melanoma,,,E,Dom,,A,,yes,"Waardenburg syndrome type 2, Tietz syndrome","MITF,WS2A,ENSG00000187098,4286"
MKL1,megakaryoblastic leukemia (translocation) 1,57591,22:40411390-40463227,22q13,yes,,acute megakaryocytic leukaemia,,,L,Dom,,T,RBM15,,,"BSAC,57591,MKL1,ENSG00000196588,Q969V6,MRTF-A"
MLF1,myeloid leukemia factor 1,4291,3:158571302-158605203,3q25.1,yes,,AML,,,L,Dom,,T,NPM1,,,"P58340,4291,MLF1,ENSG00000178053"
MLH1,E.coli MutL homolog gene,4292,3:36993548-37050653,3p21.3,yes,yes,"colorectal, endometrial, ovarian, CNS tumours","colorectal, endometrial, ovarian, CNS","hereditary non-polyposis colorectal cancer, Turcot syndrome","E, O",Rec,,"D, Mis, N, F, S",,,,"COCA2,MLH1,4292,ENSG00000076242,hMLH1,FCC2,HNPCC2,P40692,MGC5172,HNPCC"
MLLT1,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (ENL)",4298,19:6213042-6279784,19p13.3,yes,,AL,,,L,Dom,oncogene,T,KMT2A,,,"ENL,MLLT1,4298,ENSG00000130382,Q03111,YEATS1,LTG19"
MLLT10,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 (AF10)",8028,10:21534646-21740235,10p12,yes,,AL,,,L,Dom,,T,"KMT2A, PICALM, CDK6",,,"P55197,MLLT10,8028,ENSG00000078403,AF10"
MLLT11,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11",10962,1:151039702-151040970,1q21,yes,,ALL,,,L,Dom,,T,KMT2A,,,"Q13015,MLLT11,10962,ENSG00000213190,AF1Q"
MLLT3,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 (AF9)",4300,9:20346443-20622256,9p22,yes,,ALL,,,L,Dom,oncogene,T,KMT2A,,,"AF9,4300,MLLT3,ENSG00000171843,P42568,YEATS3,AF-9"
MLLT4,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (AF6)",4301,6:167827134-167952263,6q27,yes,,AL,,,L,Dom,,T,KMT2A,,,"ENSG00000130396,MLLT4,4301"
MLLT6,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (AF17)",4302,17:36861887-36881852,17q21,yes,,AL,,,L,Dom,,T,KMT2A,,,"AF17,4302,MLLT6,ENSG00000108292,P55198"
MN1,meningioma (disrupted in balanced translocation) 1,4330,22:27750915-27800543,22q13,yes,,"AML, meningioma",,,"L, O",Dom,,T,ETV6,,,"MN1,Q10571,MGCR1-PEN,MGCR1,MGCR,dJ353E16_2,ENSG00000169184,4330"
MNX1,motor neuron and pancreas homeobox 1,3110,7:157005520-157010350,7q36,yes,,AML,,,L,Dom,,T,ETV6,yes,Currarino syndrome,"HB9,3110,MNX1,ENSG00000130675,P50219,HLXB9"
MPL,"myeloproliferative leukaemia virus oncogene, thrombopoietin receptor",4352,1:43337849-43352772,1p34,yes,yes,MPN,MPN,familial essential thrombocythemia,L,Dom,oncogene,Mis,,yes,Congenital amegakaryocytic thrombocytopenia,"TPOR,P40238,MPL,4352,ENSG00000117400,CD110,MPLV,C-MPL,RP1-92O14_1"
MSH2,mutS homolog 2 (E. coli),4436,2:47403192-47482949,2p22-p21,yes,yes,"colorectal, endometrial, ovarian","colorectal, endometrial, ovarian",hereditary non-polyposis colorectal cancer,E,Rec,,"D, Mis, N, F, S",,,,"COCA1,4436,MSH2,ENSG00000095002,HNPCC,FCC1,HNPCC1,P43246"
MSH6,mutS homolog 6 (E. coli),2956,2:47783234-47806860,2p16,yes,yes,colorectal,"colorectal, endometrial, ovarian",hereditary non-polyposis colorectal cancer,E,Rec,,"Mis, N, F, S",,,,"GTBP,MSH6,P52701,2956,ENSG00000116062,HSAP,HNPCC5"
MSI2,musashi homolog 2 (Drosophila),124540,17:57257049-57631832,17q23.2,yes,,CML,,,L,Dom,,T,HOXA9,,,"ENSG00000153944,124540,MSI2"
MSN,moesin,4478,X:65667842-65739893,Xq11.2-q12,yes,,ALCL,,,L,Dom,,T,ALK,,,"P26038,MSN,4478,ENSG00000147065"
MTCP1,mature T-cell proliferation 1,4515,X:155061843-155064023,Xq28,yes,,T cell prolymphocytic leukaemia,,,L,Dom,,T,TRA,,,"C6_1B,MTCP1,4515,ENSG00000214827,GS1-273L24_4"
MTOR,mechanistic target of rapamycin,2475,1:11107485-11259409,1p36,yes,,"endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types",,,E,Dom,oncogene,"Mis, N",,yes,"Smith-Kingsmore syndrome, brain overgrowth phenotypes such as focal cortical dysplasia and megalencephaly,","FRAP2,FRAP1,MTOR,2475,ENSG00000198793,P42345,RAPT1,RAFT1,FRAP,FLJ44809,MTOR"
MUC1,"mucin 1, transmembrane",4582,1:155186135-155192843,1q21,yes,,B-NHL,,,L,Dom,,T,IGH,,,"PEM,4582,MUC1,ENSG00000185499,PUM,MAM6,EMA,CD227,H23AG"
MUTYH,mutY homolog (E. coli),4595,1:45329306-45340254,1p34.3-1p32.1,,yes,,colorectal,adenomatous polyposis coli,E,Rec,,Mis,,,,"MYH,MUTYH,4595,ENSG00000132781,hMYH,MGC4416,MYHbeta"
MYB,v-myb myeloblastosis viral oncogene homolog,4602,6:135181514-135217980,6q22-23,yes,,adenoid cystic carcinoma,,,E,Dom,,T,NFIB,,,"c-myb_CDS,4602,MYB,ENSG00000118513,P10242,efg,Cmyb,c-myb"
MYC,v-myc myelocytomatosis viral oncogene homolog (avian),4609,8:127738263-127740958,8q24.12-q24.13,yes,,"Burkitt lymphoma, amplified in other cancers, B-CLL",,,"L, E",Dom,oncogene,"A, T","IGK, BCL5, BCL7A , BTG1, TRA, IGH",,,"c-Myc,MYC,4609,ENSG00000136997"
MYCL,v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog,4610,1:39900814-39901434,1p34.2,yes,,small cell lung carcinoma,,,E,Dom,,A,,,,"LMYC,4610,MYCL1,MYCL,ENSG00000116990,MYCL"
MYCN,"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)",4613,2:15942065-15946097,2p24.1,yes,,neuroblastoma,,,O,Dom,oncogene,A,,,,"N-myc,4613,MYCN,ENSG00000134323,NMYC,MODED,ODED"
MYD88,myeloid differentiation primary response gene (88),4615,3:38138662-38141286,3p22,yes,,ABC-DLBCL,,,L,Dom,oncogene,Mis,,,,"MYD88,Q99836,MYD88D,4615"
MYH11,"myosin, heavy polypeptide 11, smooth muscle",4629,16:15708811-15838252,16p13.13-p13.12,yes,,AML,,,L,Dom,,T,CBFB,,,"ENSG00000133392,MYH11,4629"
MYH9,"myosin, heavy polypeptide 9, non-muscle",4627,22:36282668-36349236,22q13.1,yes,,ALCL,,,L,Dom,,T,ALK,yes,"Deafness, autosomal dominant 17, Epstein syndrome, Fechtner syndrome, May-Hegglin anomaly, Sebastian syndrome","P35579,MYH9,4627,ENSG00000100345,DFNA17"
MYO5A,"myosin VA (heavy chain 12, myoxin)",4644,15:52313696-52528806,15q21,yes,,Spitzoid tumour,,,E,Dom,,T,ROS1,yes,Griscelli syndrome,"MYO5A,Q9Y4I1,MYR12,MYO5,MYH12,GS1,ENSG00000197535,4644"
MYOD1,myogenic differentiation 1,4654,11:17719783-17721508,11p15.4,yes,,embryonal rhabdomyosarcoma,,,M,Dom,,Mis,,,,"ENSG00000129152,4654,MYOD1,P15172,PUM,MYOD,MYF3"
NAB2,NGFI-A binding protein 2,4665,12:57089272-57094721,12q13.3,yes,,"solitary fibrous tumour, meningeal haemangiopericytoma",,,"M, O",Dom,oncogene,T,STAT6,,,"MADER,4665,NAB2,ENSG00000166886,Q15742,MGC75085"
NACA,nascent-polypeptide-associated complex alpha polypeptide,4666,12:56712538-56724521,12q23-q24.1,yes,,NHL,,,L,Dom,,T,BCL6,,,"HSD48,4666,NACA,ENSG00000196531,MGC117224,NACA1,Q13765,FKSG17,NACAP1"
NBN,nibrin,4683,8:89935582-89984561,8q21,,yes,,"NHL, glioma, medulloblastoma, rhabdomyosarcoma",Nijmegen breakage syndrome,"L, E, M, O",Rec,,"Mis, N, F",,,,"AT-V2,4683,NBN,ENSG00000104320,ATV,FLJ10155,NBS,AT-V1,MGC87362,NBS1"
NCKIPSD,NCK interacting protein with SH3 domain,51517,3:48674544-48685807,3p21,yes,,ALL,,,L,Dom,,T,KMT2A,,,"AF3P21,NCKIPSD,51517,ENSG00000213672,SPIN90,WASLBP,Q9NZQ3,WISH,ORF1"
NCOA1,nuclear receptor coactivator 1,8648,2:24658678-24768391,2p23,yes,,alveolar rhabdomyosarcoma,,,M,Dom,,T,PAX3,,,"RIP160,NCOA1,8648,ENSG00000084676,NCoA-1,SRC1,MGC129719,MGC129720,F-SRC-1"
NCOA2,nuclear receptor coactivator 2 (TIF2),10499,8:70113632-70216745,8q13.1,yes,,"AML, chondrosarcoma, rhabdomyosarcoma",,,"L, M",Dom,,T,"KAT6A, HEY1, NCOA2",,,"TIF2,NCOA2,10499,ENSG00000140396,NCoA-2,MGC138808"
NCOA4,nuclear receptor coactivator 4 - PTC3 (ELE1),8031,10:51579142-51586417,10q11.2,yes,,papillary thyroid,,,E,Dom,,T,RET,,,"RP11-481A12_4,NCOA4,8031,ENSG00000138293,PTC3,ELE1,Q13772,RFG,DKFZp762E1112,ARA70"
NCOR1,nuclear receptor corepressor 1,9611,17:16032296-16194569,17p11.2,yes,,breast,,,E,Rec,,"Mis, F, N, O",,yes,Ulnar-mammary syndrome,"hCIT529I10,NCOR1,9611,ENSG00000141027,N-CoR,MGC104216,TRAC1,O75376,hN-CoR,KIAA1047"
NCOR2,nuclear receptor corepressor 2,9612,12:124325402-124495251,12q24,yes,,prostate,,,E,Dom,TSG,"Mis, F, N, O",,,,"SMRTE-tau,NCOR2,9612,ENSG00000196498,SMRTE,TNRC14,TRAC-1,SMRT,CTG26,TRAC1"
NDRG1,N-myc downstream regulated 1,10397,8:133238878-133284311,8q24.3,yes,,prostate,,,E,Dom,,T,ERG,,,"NDR1,10397,NDRG1,ENSG00000104419,Q92597,RIT42,CMT4D,TARG1,HMSNL,GC4,RTP,TDD5,PROXY1,NMSL,CAP43"
NF1,neurofibromatosis type 1 gene,4763,17:31095310-31374155,17q12,yes,yes,"neurofibroma, glioma","neurofibroma, glioma",neurofibromatosis type 1,O,Rec,,"D, Mis, N, F, S, O",,,,"NFNS,NF1,4763,ENSG00000196712,P21359"
NF2,neurofibromatosis type 2 gene,4771,22:29603999-29694802,22q12.2,yes,yes,"meningioma, acoustic neuroma, renal","meningioma, acoustic neuroma",neurofibromatosis type 2,O,Rec,TSG,"D, Mis, N, F, S, O",,,,"ACN,4771,NF2,ENSG00000186575,P35240,SCH,Merlin,BANF"
NFATC2,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2",4773,20:51391396-51542499,20q13.2,yes,,Ewing sarcoma,,,M,Dom,,T,EWSR1,,,"ENSG00000101096,4773,NFATC2,Q13469,NFATP,NFAT1,KIAA0611"
NFE2L2,nuclear factor (erythroid-derived 2)-like 2 (NRF2),4780,2:177230785-177264576,2q31,yes,,"NSCLC, HNSCC",,,E,Dom,,Mis,,,,"ENSG00000116044,4780,NFE2L2,Q16236,NRF2"
NFIB,nuclear factor I/B,4781,9:14088309-14313511,9p24.1,yes,,"adenoid cystic carcinoma, lipoma",,,E,Dom,,T,"MYB, HGMA2",,,"RP11-280O24_2,4781,NFIB,ENSG00000147862,NFIB2,NFI-RED,NFIB3"
NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),4791,10:102395960-102402376,10q24,yes,,B-NHL,,,L,Dom,oncogene,T,IGH,,,"ENSG00000077150,LYT10,LYT-10,4791,NFKB2"
NFKBIE,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon",4794,6:44259219-44265763,6p21.1,yes,,"CLL, desmoplastic melanoma",,,"L, E",Dom/Rec,,"F, Mis",,,,"ENSG00000146232,4794,NFKBIE,O00221,IKBE"
NIN,ninein (GSK3B interacting protein),51199,14:50725872-50822056,14q24,yes,,MPN,,,L,Dom,,T,PDGFRB,,,"KIAA1565,NIN,51199,ENSG00000100503"
NKX2-1,NK2 homeobox 1,7080,14:36517278-36519357,14q13,yes,,NSCLC,,,E,Dom,,A,,,,"BCH,7080,NKX2-1,ENSG00000136352,P43699,TITF1,TEBP,BHC,NKX2A,TTF-1,NKX2_1,NK-2"
NONO,"non-POU domain containing, octamer-binding",4841,X:71290638-71300076,Xq13.1,yes,,papillary renal,,,E,Dom,,T,TFE3,,,"Q15233,4841,NONO,ENSG00000147140,NRB54,P54NRB,NMT55,P54"
NOTCH1,"Notch homolog 1, translocation-associated (Drosophila) (TAN1)",4851,9:136496071-136545786,9q34.3,yes,,"T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC",,,"L, E",Dom/Rec,oncogene/TSG,"T, Mis, O","TRB, SEC16A, GABBR2",,,"TAN1,NOTCH1,P46531,4851,ENSG00000148400,hN1"
NOTCH2,Notch homolog 2,4853,1:119915306-120069406,1p13-p11,yes,,"marginal zone lymphoma, DLBCL, bladder",,,"L, E",Dom/Rec,oncogene/TSG,"N, F, Mis",,yes,"Hajdu-Cheney syndrome, serpentine fibula-polycystic kidney syndrome","Q04721,4853,NOTCH2,ENSG00000134250,AGS2,hN2"
NPM1,"nucleophosmin (nucleolar phosphoprotein B23, numatrin)",4869,5:171387949-171410565,5q35,yes,,"NHL, APL, AML",,,L,Dom,,"T, F","ALK, RARA, MLF1",,,"NPM,4869,NPM1,ENSG00000181163,P06748,B23,MGC104254"
NR4A3,"nuclear receptor subfamily 4, group A, member 3 (NOR1)",8013,9:99828041-99863867,9q22,yes,,extraskeletal myxoid chondrosarcoma,,,M,Dom,,T,"EWSR1, TAF15, TCF12, TFG",,,"MINOR,NR4A3,8013,ENSG00000119508,Q92570,CHN,NOR1,CSMF"
NRAS,neuroblastoma RAS viral (v-ras) oncogene homolog,4893,1:114708535-114716160,1p13.2,yes,,"melanoma, MM, AML, thyroid",,,"L, E",Dom,oncogene,Mis,,,,"N-ras,4893,NRAS,ENSG00000213281,P01111,NRAS1"
NRG1,neuregulin 1,3084,8:32548727-32764402,8p12,yes,,NSCLC,,,E,Dom,,T,CD74,,,"ENSG00000157168,3084,SMDF,NDF,HRGA,HRG1,HGL,GGF2,GGF,ARIA,NRG1"
NSD1,nuclear receptor binding SET domain protein 1,64324,5:177135104-177295459,5q35,yes,,AML,,,L,Dom,,T,NUP98,yes,Sotos Syndrome,"FLJ44628,64324,NSD1,ENSG00000165671,Q96L73,FLJ22263,DKFZp666C163,ARA267,STO,SOTOS"
NT5C2,"5'-nucleotidase, cytosolic II",22978,10:103089672-103174958,10q24.32,yes,,relapse ALL,,,L,Dom,,Mis,,yes,Spastic paraplegia-45,"ENSG00000076685,22978,NT5C2,P49902,PNT5,NT5B,GMP,cN-II"
NTRK1,"neurotrophic tyrosine kinase, receptor, type 1",4914,1:156860935-156881642,1q21-q22,yes,,"papillary thyroid, Spitzoid tumour",,,E,Dom,,T,"TPM3, TPR, TFG, TP53, LMNA",,,"ENSG00000198400,4914,NTRK1,P04629,TRK1,MTC,DKFZp781I14186,p140-TrkA,TRKA,TRK"
NTRK3,"neurotrophic tyrosine kinase, receptor, type 3",4916,15:87876935-88256153,15q25,yes,,"congenital fibrosarcoma, secretory breast",,,"E, M",Dom,,T,ETV6,,,"TRKC,4916,NTRK3,ENSG00000140538,Q16288,gp145(trkC)"
NUMA1,nuclear mitotic apparatus protein 1,4926,11:72003527-72035943,11q13,yes,,APL,,,L,Dom,,T,RARA,,,"Q14980,NUMA1,4926,ENSG00000137497,NUMA"
NUP214,nucleoporin 214kDa (CAN),8021,9:131125705-131233487,9q34.1,yes,,"AML, T-ALL",,,L,Dom,,T,"DEK, SET, ABL1",,,"ENSG00000126883,NUP214,8021,MGC104525,D9S46E,RP11-544A12_7,N214,CAIN,P35658,CAN"
NUP98,nucleoporin 98kDa,4928,11:3676159-3782117,11p15,yes,,AML,,,L,Dom,,T,"HOXA9, NSD1, WHSC1L1, DDX10, TOP1, HOXD13, PRRX1, HOXA13, HOXD11, HOXA11, RAP1GDS1, HOXC11",,,"NUP196,NUP98,4928,ADIR2,ENSG00000110713"
NUTM1,"NUT midline carcinoma, family member 1",256646,15:34346021-34357492,15q14,yes,,lethal midline carcinoma,,,E,Dom,oncogene,T,"BRD3, BRD4",,,"NUT,NUTM1,256646,ENSG00000184507"
NUTM2A,NUT family member 2A,728118,10:87358266-87367372,10q23.2,yes,,endometrial stromal sarcoma,,,M,Dom,,T,YWHAE,,,"ENSG00000184923,NUTM2A,Q5VT03,Q8IVF1,KIAA2020,728118,FAM22A"
NUTM2B,NUT family member 2B,729262,10:79703610-79712485,10q22.3,yes,,endometrial stromal sarcoma,,,M,Dom,,T,YWHAE,,,"FAM22B,A6NNL0,729262,NUTM2B"
OLIG2,oligodendrocyte lineage transcription factor 2 (BHLHB1),10215,21:33026863-33027834,21q22.11,yes,,T-ALL,,,L,Dom,,T,TRA,,,"OLIGO2,OLIG2,10215,ENSG00000205927,BHLHB1,RACK17,PRKCBP2"
OMD,osteomodulin,4958,9:92415152-92417558,9q22.31,yes,,aneurysmal bone cyst,,,M,Dom,,T,USP6,,,"osteoadherin,OMD,4958,ENSG00000127083,Q99983,SLRR2C"
P2RY8,"purinergic receptor P2Y, G-protein coupled, 8",286530,"X,Y:1465479-1466558","Xp22.3; Yp11.3",yes,,"B-ALL, Down syndrome associated ALL",,,L,Dom,,T,CRLF2,,,"RP11-261P4_4,286530,P2RY8,ENSG00000182162,MGC50878,P2Y8,Q86VZ1"
PAFAH1B2,"platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa",5049,11:117152449-117167700,11q23,yes,,MLCLS,,,L,Dom,,T,IGH,,,"P68402,5049,PAFAH1B2,ENSG00000168092"
PALB2,partner and localizer of BRCA2,79728,16:23603459-23641157,16p12.1,,yes,,"Wilms tumour, medulloblastoma, AML ,breast","Fanconi anaemia N, breast cancer susceptibility","L, O, E",Rec,TSG,"F, N, Mis",,,,"ENSG00000083093,79728,PALB2"
PAX3,paired box gene 3,5077,2:222201174-222298615,2q35,yes,,alveolar rhabdomyosarcoma,,,M,Dom,,T,"FOXO1, NCOA1, NCOA2",yes,"Waardenburg syndrome; craniofacial-deafness-hand syndrome","MGC120382,PAX3,5077,ENSG00000135903,CDHS,MGC120383,HUP2,P23760,WS1,MGC120384,MGC134778,MGC120381"
PAX5,paired box gene 5 (B-cell lineage specific activator protein),5079,9:36840560-37034031,9p13,yes,,"NHL, ALL, B-ALL",,,L,Dom,,"T, Mis, D, F, S","IGH, ETV6, PML, FOXP1, ZNF521, ELN",,,"Q02548,PAX5,5079,ENSG00000196092,BSAP"
PAX7,paired box gene 7,5081,1:18631604-18736039,1p36.2-p36.12,yes,,alveolar rhabdomyosarcoma,,,M,Dom,,T,FOXO1,,,"PAX7B,5081,PAX7,ENSG00000009709,P23759,HUP1"
PAX8,paired box gene 8,7849,2:113218533-113278394,2q12-q14,yes,,follicular thyroid,,,E,Dom,,T,PPARG,yes,Thyroid dysgenesis,"ENSG00000125618,7849,PAX8"
PBRM1,polybromo 1,55193,3:52548063-52679711,3p21,yes,,"clear cell renal carcinoma, breast",,,E,Rec,TSG,"Mis, N, F, S, D, O",,,,"BAF180,55193,PBRM1,PB1,MGC156156,MGC156155"
PBX1,pre-B-cell leukemia transcription factor 1,5087,1:164559824-164846677,1q23,yes,,"pre B-ALL, myoepithelioma",,,"L, M",Dom,,T,"TCF3, EWSR1",,,"P40424,PBX1,5087"
PCM1,pericentriolar material 1  (PTC4),5108,8:17935611-18027662,8p22-p21.3,yes,,"papillary thyroid, CML, MPN",,,"E, L",Dom,,T,"RET, JAK2",,,"PCM1,Q15154,PTC4,ENSG00000078674,5108"
